"Ano-calendário";"CNPJ";"Razão Social";"Nome Fantasia";"Código CNAE";"CNAE";"Município";"UF";"Valor Renúncia Fiscal (R$)"
"2024";"29958609000400";"NIDEC GLOBAL APPLIANCE BRASIL LTDA";"";"28232";"Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial";"ITAIÓPOLIS";"SC";"2351866,00"
"2024";"23509564000230";"NOVA LAPA SOLAR S.A.";"";"00000";"Sem informação";"BOM JESUS DA LAPA";"BA";"2351784,00"
"2024";"07790648000409";"ELKEM SILICONES BRASIL LTDA.";"";"20291";"Fabricação de produtos químicos orgânicos não especificados anteriormente";"JOINVILLE";"SC";"2349349,00"
"2024";"55566871000754";"DAN VIGOR INDUSTRIA E COMERCIO DE LATICINIOS LTDA";"";"10422";"Fabricação de óleos vegetais refinados, exceto óleo de milho";"SÃO CAETANO DO SUL";"SP";"2347355,00"
"2024";"03341024000100";"MIR IMPORTACAO E EXPORTACAO LTDA";"RAMSON'S";"47539";"Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo";"MANAUS";"AM";"2346706,00"
"2024";"39496730000918";"AGRICONNECTION IMPORTADORA E EXPORTADORA DE INSUMOS AGRICOLAS LTDA";"";"46834";"Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo";"ITU";"SP";"2344123,00"
"2024";"03983300000479";"FOX PNEUS LTDA";"FOX";"00000";"Sem informação";"PORTO VELHO";"RO";"2339672,00"
"2024";"15127898000564";"MUNDIPHARMA BRASIL PRODUTOS MEDICOS E FARMACEUTICOS LTDA.";"";"46443";"Comércio atacadista de produtos farmacêuticos para uso humano e veterinário";"APARECIDA DE GOIÂNIA";"GO";"2339639,00"
"2024";"00799205000189";"FUNDACAO DE APOIO A PESQUISA";"FUNAPE";"00000";"Sem informação";"GOIÂNIA";"GO";"2331803,00"
"2024";"07736253000339";"BD COMERCIO DE INSUMOS PLASTICOS LTDA";"BD PLASTICOS";"20312";"Fabricação de resinas termoplásticas";"MANAUS";"AM";"2331288,00"
